00007602IGOR                Respundek                Skrytki Pocztowe Poczta Ostrów Mazowiecka 001, ul. Pocztowa 8                             ostrowski                     MAZOWIECKIE         073000
00007603POLA                Portejewska              Poczta Ostro³êka 004, ul. Korczaka 4                                                      M. Ostro³êka                  MAZOWIECKIE         074090
00007604ANIELA              ¦ciebiura                Poczta Ostrów Mazowiecka 003, ul. Sikorskiego 131                                         ostrowski                     MAZOWIECKIE         073100
00007605ADAM                Do³êgowski               Poczta Je¿ewo ko³o Sierpca, ul. Je¿ewo ko³o Sierpca 19                                    sierpecki                     MAZOWIECKIE         092050
00007606KORNELIA            Jamrógiewicz             Poczta Wêgrów, ul. Pi³sudskiego 4                                                         wêgrowski                     MAZOWIECKIE         071000
00007607IGOR                Zakociñska               Poczta Oddzia³ UP Lubowidz, ul. Syberia 14                                                ¿uromiñski                    MAZOWIECKIE         093030
00007608LENA                Go³danowski              Poczta Dr±¿d¿ewo 2                                                                        makowski                      MAZOWIECKIE         062141
00007609WIKTOR              Martynaki                Poczta D±browa ko³o M³awy, ul. D±browa ko³o M³awy 79                                      m³awski                       MAZOWIECKIE         065220
00007610KAJA                Gidasz                   Poczta Siedlce 004, ul. Brzeska 131                                                       M. Siedlce                    MAZOWIECKIE         081020
00007611MICHALINA           Ignatczenko              Poczta Nadarzyn, ul. Warszawska 5                                                         pruszkowski                   MAZOWIECKIE         058300
00007612NINA                Rede³ek                  Poczta Szelków Nowy 99                                                                    makowski                      MAZOWIECKIE         062200
00007613MAJA                Giwiñska                 Skrytki Pocztowe Poczta Wyszków 001, ul. Daszyñskiego 27                                  wyszkowski                    MAZOWIECKIE         072000
00007614BLANKA              £oczewski                Poczta P³ock 007, ul. Marii Curie Sk³odowskiej 1                                          M. P³ock                      MAZOWIECKIE         094051
00007615KLARA               Goszczyna                Poczta Krzynow³oga Ma³a, ul. Przasnyska 3                                                 przasnyski                    MAZOWIECKIE         063160
00007616JAGODA              Majdura                  Poczta Szyd³owo ko³o M³awy, ul. Szyd³owo ko³o M³awy 10                                    m³awski                       MAZOWIECKIE         065160
00007617PAULINA             Danilecki                Poczta Wêgrów, ul. Pi³sudskiego 4                                                         wêgrowski                     MAZOWIECKIE         071000
00007618AGATA               Bo¿erocka                Poczta Nadarzyn, ul. Warszawska 5                                                         pruszkowski                   MAZOWIECKIE         058300
00007619KACPER              Æwielóch                 Poczta Tarczyn ko³o Warszawy, ul. Rynek 15                                                piaseczyñski                  MAZOWIECKIE         055550
00007620KAJA                Trykiel                  Poczta Parysów, ul. Ko¶ciuszki 28                                                         garwoliñski                   MAZOWIECKIE         084410
00007621TYMON               Golberski vel Jabusz     Poczta Oddzia³ UP Naruszewo 96                                                            p³oñski                       MAZOWIECKIE         091620
00007622£UCJA               Zacniewski               Poczta M³ynarze, ul. Rolna 10                                                             makowski                      MAZOWIECKIE         062311
00007623KAROLINA            Grudzicki                Poczta Filia UP Legionowo 001, ul. Kardyna³a Stefana Wyszyñskiego 17                      legionowski                   MAZOWIECKIE         051221
00007624MICHA£              Gryczkowski              Poczta Zarêby ko³o Chorzel 35                                                             przasnyski                    MAZOWIECKIE         063330
00007625MIKO£AJ             Wensowski                Poczta Sierpc, ul. P³ocka 22                                                              sierpecki                     MAZOWIECKIE         092001
00007626PAULINA             Januszczal               Skrytki Pocztowe Poczta Piastów 001, ul. 11 Listopada 1                                   pruszkowski                   MAZOWIECKIE         058200
00007627NIKODEM             Szulgicz                 Poczta ¯elechów, ul. Traugutta 3a 76                                                      garwoliñski                   MAZOWIECKIE         084300
00007628NELA                Najsztub                 Poczta Nowy Dwór Mazowiecki 005, ul. Pu³kownika Malewicza E. 117                          nowodworski                   MAZOWIECKIE         051600
00007629WIKTOR              Charygo                  Poczta Ostro³êka 003, ul. I Armii WP 42                                                   M. Ostro³êka                  MAZOWIECKIE         074010
00007630IGA                 D³ugoszowski             Poczta Agencja UP Chynów ko³o Grójca 5                                                    grójecki                      MAZOWIECKIE         056510
00007631ALEKSANDRA          Mêckowski                Poczta Wo³omin 003, Al. Niepodleg³o¶ci 17                                                 wo³omiñski                    MAZOWIECKIE         052020
00007632ALEKSANDRA          Pfliger                  Poczta Krasiniec 8                                                                        makowski                      MAZOWIECKIE         062110
00007633HANNA               Samberski                Poczta Chorzele, ul. Mostowa 13                                                           przasnyski                    MAZOWIECKIE         063301
00007634NINA                Hudeusz                  Poczta Wodynie 5                                                                          siedlecki                     MAZOWIECKIE         081170
00007635IGNACY              Sztwiorch                Poczta M³ynarze, ul. Rolna 10                                                             makowski                      MAZOWIECKIE         062310
00007636LAURA               Mondzylewski             Poczta Piski 95                                                                           ostro³êcki                    MAZOWIECKIE         074060
00007637OLIWIA              Pilcicki                 Skrytki Pocztowe Poczta Ostro³êka 001, ul. Kopernika 9                                    M. Ostro³êka                  MAZOWIECKIE         074000
00007638MICHALINA           Traut                    Poczta Miñsk Mazowiecki 002, ul. Plac Dworcowy 3                                          miñski                        MAZOWIECKIE         053030
