8446|A|MATYLDA|AGENFELD|Poczta Żelechów, ul. Traugutta 3a 54                                                                          |garwoliński                             |MAZOWIECKIE                                       |08430|1|9000|R|82500
184016|B|BRUNO|AUCIK|Skrytki Pocztowe Poczta Nowy Dwór Mazowiecki 005, ul. Pułkownika Malewicza E. 117                             |nowodworski                             |MAZOWIECKIE                                       |05160|1|9510|R|279645
183521|B|JAN|BALBIŃSKA|Poczta Jasienica Mazowiecka, ul. Jasiennicy Pawła 33                                                          |ostrowski                               |MAZOWIECKIE                                       |07304|1|5455|R|164900
184194|B|TYMON|BAUCZYŃSKI|Skrytki Pocztowe Poczta Konstancin-Jeziorna 001, ul. Moniuszki 22 b 60                                        |piaseczyński                            |MAZOWIECKIE                                       |05510|1|5905|R|134537
182949|B|MARTYNA|BOHOMAZOW|Poczta Ostrołęka 003, ul. I Armii WP 42                                                                       |M. Ostrołęka                            |MAZOWIECKIE                                       |07401|1|8225|R|59715
8481|A|DAWID|BRUDZIEŃSKA|Poczta Gostynin, ul. Wojska Polskiego 27                                                                      |gostyniński                             |MAZOWIECKIE                                       |09500|1|5505|R|37135.5
183056|B|DAWID|BURNAŁTOWICZ|Poczta Wólka Kosowska 33                                                                                      |piaseczyński                            |MAZOWIECKIE                                       |05552|1|10070|O|296505
8210|A|JULIA|CECIURA|Poczta Rzewnie 91                                                                                             |makowski                                |MAZOWIECKIE                                       |06225|1|5255|R|110969.85
183180|B|WIKTORIA|CHADUŚ|Poczta Zaręby Kościelne, ul. Kowalska 14                                                                      |ostrowski                               |MAZOWIECKIE                                       |07323|1|7985|R|34500
184223|B|BARTŁOMIEJ|CHAŁADYN|Poczta Osieck, ul. Rynek 6                                                                                    |otwocki                                 |MAZOWIECKIE                                       |08445|1|7750|R|97290
183032|B|ALEKSANDER|CHERASTYK|Poczta Czosnów, ul. Strażacka 10                                                                              |nowodworski                             |MAZOWIECKIE                                       |05152|1|8825|R|211000
7771|A|GABRIEL|CHIRAN|Poczta Wodynie 98                                                                                             |siedlecki                               |MAZOWIECKIE                                       |08117|1|9335|R|28812
184435|B|FABIAN|CHRANCZAREK|Poczta Nadarzyn, ul. Warszawska 5                                                                             |pruszkowski                             |MAZOWIECKIE                                       |05830|1|10740|O|265635
8637|A|ALEKSANDRA|CIULEJA|Poczta Ostrów Mazowiecka 003, ul. Sikorskiego 131                                                             |ostrowski                               |MAZOWIECKIE                                       |07310|1|5310|R|87590
183916|B|ARTUR|CYCHYLIK|Skrytki Pocztowe Poczta Góra Kalwaria 001, ul. Kalwaryjska 14                                                 |piaseczyński                            |MAZOWIECKIE                                       |05530|1|6110|R|121818
8723|A|MICHAŁ|CZEPELUK|Poczta Filia UP Garwolin 001, ul. Dworcowa 12                                                                 |garwoliński                             |MAZOWIECKIE                                       |08410|1|10440|R|82298
183391|B|PAULINA|CZYBASZEK|Poczta Przasnysz 003, ul. Makowska 8                                                                          |przasnyski                              |MAZOWIECKIE                                       |06301|1|5075|R|14790
183112|B|TYMOTEUSZ|DAMAZIUK|Poczta Nowa Wieś koło Ostrołęki, ul. Parkowa 1                                                                |ostrołęcki                              |MAZOWIECKIE                                       |07416|1|45805|R|232745
184112|B|PAWEŁ|DAMBROWSKI|Poczta Nadarzyn, ul. Warszawska 5                                                                             |pruszkowski                             |MAZOWIECKIE                                       |05830|1|87630|O|29000
7617|A|PAULINA|DANILECKI|Poczta Węgrów, ul. Piłsudskiego 4                                                                             |węgrowski                               |MAZOWIECKIE                                       |07100|1|22215|R|384366.1
8069|A|KAMIL|DANNENHEIMER|Poczta Dzierzążnia 90                                                                                         |płoński                                 |MAZOWIECKIE                                       |09164|1|59770|O|107986.5
182979|B|MACIEJ|DAPERLING|Poczta Żuromin, ul. Warszawska 7/13                                                                           |żuromiński                              |MAZOWIECKIE                                       |09300|1|36720|O|14970
183857|B|SARA|DASZLA|Skrytki Pocztowe Poczta Ciechanów 004, ul. Kicińskiego 21/23                                                  |ciechanowski                            |MAZOWIECKIE                                       |06402|1|35005|R|97170
8641|A|MATEUSZ|DATKUN|Poczta Jelonki koło Ostrowi Mazowieckiej, ul. Jelonki 24                                                      |ostrowski                               |MAZOWIECKIE                                       |07302|1|75980|O|71228.25
7760|A|HANNA|DAUKSZYS|Poczta Stupsk koło Mławy, ul. Sienkiewicza 10                                                                 |mławski                                 |MAZOWIECKIE                                       |06561|1|71790|O|437811.8
8424|A|AGATA|DAWAYME|Poczta Ciechanów 006, ul. Batalionów Chłopskich 17A 21                                                        |ciechanowski                            |MAZOWIECKIE                                       |06413|1|37230|R|268039
184446|B|ŁUCJA|DAWIDJAK|Poczta Jednorożec, ul. Witosa 2                                                                               |przasnyski                              |MAZOWIECKIE                                       |06323|1|64270|O|14985
184492|B|IGOR|DAWOSYR|Poczta Wola Rasztowska, ul. Osiedle Blok nr 3/b 17                                                            |wołomiński                              |MAZOWIECKIE                                       |05253|1|16850|O|72450
8167|A|HANNA|DAZKIEWICZ|Poczta Staroźreby, ul. Kościelna 39                                                                           |płocki                                  |MAZOWIECKIE                                       |09440|1|15370|O|41965
7910|A|NATALIA|DAŁOŃ|Poczta Maciejowice koło Garwolina, ul. Kościelna 3                                                            |garwoliński                             |MAZOWIECKIE                                       |08480|1|18750|R|57165
183753|B|BLANKA|DAŚCIKOWSKA|Poczta Filia UP Legionowo 005, ul. Kościelna 78                                                               |legionowski                             |MAZOWIECKIE                                       |05124|1|12760|O|49505
8488|A|KAMIL|DEIBLER|Poczta Raciąż koło Sierpca, ul. Kilińskiego 21                                                                |płoński                                 |MAZOWIECKIE                                       |09140|1|35155|R|7967.6
8457|A|SZYMON|DEIKE|Skrytki Pocztowe Poczta Dęblin 003, ul. Lotnisko 0                                                            |rycki                                   |LUBELSKIE                                         |08521|1|53370|O|200425
183065|B|AGATA|DEJRYNK|Poczta Wołomin 003, Al. Niepodległości 17                                                                     |wołomiński                              |MAZOWIECKIE                                       |05202|1|81780|O|103500
8106|A|MATYLDA|DEKKER|Poczta Zaręby koło Chorzel 45                                                                                 |przasnyski                              |MAZOWIECKIE                                       |06333|1|21610|O|101000
7654|A|DAWID|DEKONDA|Poczta Nadarzyn, ul. Warszawska 5                                                                             |pruszkowski                             |MAZOWIECKIE                                       |05830|1|101240|O|144843
8176|A|MATYLDA|DEMIAŃSKI|Poczta Stoczek koło Małkini 1                                                                                 |węgrowski                               |MAZOWIECKIE                                       |07104|1|35420|O|291900
7794|A|SZYMON|DEMITKA|Poczta Andrzejewo koło Czyżewa, ul. Rynek 17                                                                  |ostrowski                               |MAZOWIECKIE                                       |07305|1|13380|R|266030
8269|A|KSAWERY|DEMUĆ|Poczta Andrzejewo koło Czyżewa, ul. Rynek 17                                                                  |ostrowski                               |MAZOWIECKIE                                       |07305|1|74830|O|124770
